CWRC ID,URI,Primary Title,Alternative Title,Other Title,No Type Title,Orlando Record Identifier,Counts,Count_primary,Count_alternative,Count_other,Count_none,Count_all
ea5dffba-b7b7-478b-bddf-c39c240e2272,https://commons.cwrc.ca/orlando:ea5dffba-b7b7-478b-bddf-c39c240e2272,Penguin Books,,,,92227,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea5e46e6-7522-4397-967a-f6d2fce0c037,https://commons.cwrc.ca/orlando:ea5e46e6-7522-4397-967a-f6d2fce0c037,A Three-Legged Tour in Greece,,,,106091,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea60e1ca-af1d-4865-9961-2ed91750c0e5,https://commons.cwrc.ca/orlando:ea60e1ca-af1d-4865-9961-2ed91750c0e5,A Discourse of Friendship,"A Discourse of the Nature, Offices, and Measures of Friendship with Rules of Conducting It",,,7099,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ea62313b-3fd6-42bc-9af6-e71ab5291f2d,https://commons.cwrc.ca/orlando:ea62313b-3fd6-42bc-9af6-e71ab5291f2d,The History of Bantry and Bantry Bay,,,,33845,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea62a150-5fb4-4bef-8fcb-7532cbaa36f8,https://commons.cwrc.ca/orlando:ea62a150-5fb4-4bef-8fcb-7532cbaa36f8,The Works of Edgar Allan Poe,,,,37011,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea64f6af-aabf-4230-a158-6ed28a8ec5d9,https://commons.cwrc.ca/orlando:ea64f6af-aabf-4230-a158-6ed28a8ec5d9,Conversations upon Comparative Chronology,Conversations upon Comparative Chronology and General History from the Creation of the World to the Birth of Christ,,,96926,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ea66eed1-49bf-4c60-a7d6-f456f7886bdc,https://commons.cwrc.ca/orlando:ea66eed1-49bf-4c60-a7d6-f456f7886bdc,"Not Old, Madam, Vintage. An Autobiography",,,,80091,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea69ad3d-3b8d-420c-9bdb-f6402bb2cc42,https://commons.cwrc.ca/orlando:ea69ad3d-3b8d-420c-9bdb-f6402bb2cc42,The Gates,,,,104789,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea6a10ad-7e40-46a5-8c05-ed2d4e287099,https://commons.cwrc.ca/orlando:ea6a10ad-7e40-46a5-8c05-ed2d4e287099,Sheridan Knowles and the Theatre of His Time,,,,5924,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea6ca661-e795-4ef2-be70-915d461b2317,https://commons.cwrc.ca/orlando:ea6ca661-e795-4ef2-be70-915d461b2317,Elizabeth de Bruce,,,,104797,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea6eaec3-e237-44af-bff3-ab86ca2b7ab4,https://commons.cwrc.ca/orlando:ea6eaec3-e237-44af-bff3-ab86ca2b7ab4,A Dog of Flanders,A Dog of Flanders. A Christmas Story,,,17989,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ea739e6e-e765-4c66-9fcd-ba227f379fd0,https://commons.cwrc.ca/orlando:ea739e6e-e765-4c66-9fcd-ba227f379fd0,Toronto Star,,,,63206,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea751545-6a1d-4831-ab3b-f15ab20bf8c1,https://commons.cwrc.ca/orlando:ea751545-6a1d-4831-ab3b-f15ab20bf8c1,Journeying Wave,,,,29068,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea77cacc-e608-4a2d-a95b-64be68c4aa52,https://commons.cwrc.ca/orlando:ea77cacc-e608-4a2d-a95b-64be68c4aa52,Julia Domna,,,,33906,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea78bc96-f2b7-4080-badb-1acc18b16b59,https://commons.cwrc.ca/orlando:ea78bc96-f2b7-4080-badb-1acc18b16b59,Congresses of Social Democracy,,,,76205,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea7a00c3-5b36-4ae1-9552-ad0262da4ab7,https://commons.cwrc.ca/orlando:ea7a00c3-5b36-4ae1-9552-ad0262da4ab7,A Father as He Should Be,A Father as He Should Be. A Novel,,,13681,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ea7bee21-f44a-474a-b4f7-f94d7b86a538,https://commons.cwrc.ca/orlando:ea7bee21-f44a-474a-b4f7-f94d7b86a538,Hilary Mantel,,,,31348,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea80c81b-1ca2-4682-869e-96eedf59110b,https://commons.cwrc.ca/orlando:ea80c81b-1ca2-4682-869e-96eedf59110b,Multiple Advertisements and Notices,New Work By The Author Of  A Brief Sketch of Greek Philosophy,,,71685,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ea83c4d8-a308-45da-8b7c-417d90467d19,https://commons.cwrc.ca/orlando:ea83c4d8-a308-45da-8b7c-417d90467d19,Primitive Civilizations,"Primitive Civilizations or, Outlines of the History of Ownership in Archaic Communities",,,63587,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ea86801d-0816-4d93-b5d0-f196ec72b4c0,https://commons.cwrc.ca/orlando:ea86801d-0816-4d93-b5d0-f196ec72b4c0,Queen Victoria: Gender and Power,,,,7792,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea87f27a-2ecd-420d-a86e-0e5b25b351b4,https://commons.cwrc.ca/orlando:ea87f27a-2ecd-420d-a86e-0e5b25b351b4,An Essay on the Art of Ingeniously Tormenting,An Essay on the Art of Ingeniously Tormenting; with Proper Rules for the Exercise of that Pleasant Art,,,24905,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ea899ccb-8a99-4ad8-a01d-08a1fa34317b,https://commons.cwrc.ca/orlando:ea899ccb-8a99-4ad8-a01d-08a1fa34317b,'The Best Friend Whom Life Has Given Me'. Does Winifred Holtby Have a Place in Lesbian History?,,,,1888,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
