Label,External URI
"Gyldendal",http://viaf.org/viaf/127954890
"H. Colburn and R. Bentley",http://viaf.org/viaf/142329830
"H. Colburn",http://viaf.org/viaf/142329830
"H. Hamilton",http://viaf.org/viaf/134664707
"H. Herringman",http://viaf.org/viaf/304947057
"H. Holt",http://viaf.org/viaf/126775354
"H. R. Allenson",http://viaf.org/viaf/25158427931506061790
"H. S. King",http://viaf.org/viaf/265628035
"H. W. Wilson",http://viaf.org/viaf/128972161
"Hale",http://viaf.org/viaf/125513648
"Hall, Virtue",http://viaf.org/viaf/144676714
"Hambledon Press",http://viaf.org/viaf/316027384
"Hamilton, Adams",http://viaf.org/viaf/151925962
"Hamish Hamilton",http://viaf.org/viaf/134664707
"Harcourt Brace Jovanovich",http://viaf.org/viaf/123671218
"Harcourt Brace",http://viaf.org/viaf/167837026
"Harcourt, Brace and Company",http://viaf.org/viaf/167837026
"Harcourt, Brace and World",http://viaf.org/viaf/167837026
"Harcourt, Brace",http://viaf.org/viaf/167837026
"Harcourt, Brace, Jovanovich",http://viaf.org/viaf/123671218
"Harcourt, Brace, and World",http://viaf.org/viaf/167837026
"Harper & Brothers",http://viaf.org/viaf/129138489
"Harper and Brothers",http://viaf.org/viaf/122099855
"Harper and Row",http://viaf.org/viaf/129138489
"Harper",http://viaf.org/viaf/129138489
"HarperCollins Fourth Estate",http://viaf.org/viaf/129138489
"HarperCollins",http://viaf.org/viaf/129138489
"Harrison",http://viaf.org/viaf/264951771
"Hart-Davis",http://viaf.org/viaf/313090149
"Harvard University Press",http://viaf.org/viaf/139568154
"Harvester Press",http://viaf.org/viaf/295664937
"Harvester Wheatsheaf",http://viaf.org/viaf/151401859
"Harvester",http://viaf.org/viaf/295664937
"Harvey and Darton",http://viaf.org/viaf/140706820
"Harvill Press",http://viaf.org/viaf/311354883
"Haskell House",http://viaf.org/viaf/311833884
"Hatchards",http://viaf.org/viaf/150558064
"Headline",http://viaf.org/viaf/151524798
"Heinemann",http://viaf.org/viaf/129924961
"Heinemann; Putnam",http://viaf.org/viaf/129924961
"Henry Colburn",http://viaf.org/viaf/142329830
"Henry Holt",http://viaf.org/viaf/125902455
"Henry Mozley",http://viaf.org/viaf/129472710
"Henry S. King",http://viaf.org/viaf/265628035
"Her Majesty's Stationery Office",http://viaf.org/viaf/1294149368873985980001
"Heywood",http://viaf.org/viaf/123598224
"Hodder & Stoughton",http://viaf.org/viaf/136167633
"Hodder and Stoughton",http://viaf.org/viaf/136167633
"Hogarth Press",http://viaf.org/viaf/266360169
"Hollis and Carter",http://viaf.org/viaf/311359666
"Holt, Rinehart and Winston",http://viaf.org/viaf/135108302
"Honoré Champion",http://viaf.org/viaf/121318215
"Hookham and Carpenter",http://viaf.org/viaf/149369138
"Houghton Mifflin Co.",http://viaf.org/viaf/159556432
"Houghton Mifflin",http://viaf.org/viaf/159556432
"Houghton, Mifflin",http://viaf.org/viaf/159556432
"Houlston and Stoneman",http://viaf.org/viaf/155151284
"Hours Press",http://viaf.org/viaf/138711119
"Huntington Library",http://viaf.org/viaf/147236009
"Hurst and Blackett",http://viaf.org/viaf/151635949
"Hurst, Robinson",http://viaf.org/viaf/125335127
"Hutchinson",http://viaf.org/viaf/144550791
"Hyperion Press",http://viaf.org/viaf/143615064
"Independent Labour Party",http://viaf.org/viaf/155961891
"Indiana University Press",http://viaf.org/viaf/122335523
"Irish Academic Press",http://viaf.org/viaf/158197516
"Isbister",http://viaf.org/viaf/150456712
"J. B. Lippincott",http://viaf.org/viaf/136037399
"J. Ballantyne",http://viaf.org/viaf/137483859
"J. Bell",http://viaf.org/viaf/51741707
"J. Cape",http://viaf.org/viaf/311357659
"J. Chapman",http://viaf.org/viaf/14820783
"J. Clarke",http://viaf.org/viaf/134158478
"J. Debrett",http://viaf.org/viaf/24680588
"J. Dicks",http://viaf.org/viaf/11900001
"J. Dodsley",http://viaf.org/viaf/314332
"J. F. Hughes",http://viaf.org/viaf/1152561518215441866
"J. Hatchard",http://viaf.org/viaf/15101148
