RDF Type,uri,Official Label,alt label #0,alt label #1,alt label #2,alt label #3,alt label #4,alt label #5,alt label #6,alt label #7,alt label #8,alt label #9,alt label #10,alt label #11,alt label #12,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111204,Polish (culture),polish,pollish,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111207,Portuguese (culture or style),portuguese,portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111210,Romanian (culture or style),romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111212,Scottish,scottish,scots,scotswoman,scotland,half scots,scotch,shetland,scot,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111215,Spanish (culture or style),spanish,spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111218,Swedish (culture or style),swedish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111221,Swiss,swiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111225,Welsh (culture or style),welsh,welsh extraction,Welsh lineage (ancient descent though little money on both sides of her family).,Walsh,welshwoman,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111259,Irish,irish,irishwoman,half irish,ireland,irishness,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111276,Russian (culture or style),russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300193868,Turkish (culture or style),turkish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
