orlando id,wikidata uri
greege,http://www.wikidata.org/entity/Q103591
greehe,http://www.wikidata.org/entity/Q1285562
greesa,http://www.wikidata.org/entity/Q7422351
greyca,None
grieco,http://www.wikidata.org/entity/Q5163680
grifha,http://www.wikidata.org/entity/Q18716183
guesch,None
gunnsu,http://www.wikidata.org/entity/Q7648722
halesa,http://www.wikidata.org/entity/Q430639
hallan,http://www.wikidata.org/entity/Q562000
ham_el,http://www.wikidata.org/entity/Q18922203
hamie2,http://www.wikidata.org/entity/Q18875779
hamija,http://www.wikidata.org/entity/Q6153384
hamnni,http://www.wikidata.org/entity/Q449054
handir,http://www.wikidata.org/entity/Q6069046
hardiz,http://www.wikidata.org/entity/Q63614225
hardth,http://www.wikidata.org/entity/Q132805
harlbr,http://www.wikidata.org/entity/Q245971
harrbe,http://www.wikidata.org/entity/Q4877157
harvja,http://www.wikidata.org/entity/Q18576412
hattan,http://www.wikidata.org/entity/Q4766446
hawkan,http://www.wikidata.org/entity/Q4766445
hawkla,http://www.wikidata.org/entity/Q6471146
haysma,http://www.wikidata.org/entity/Q1797831
hazlwi,http://www.wikidata.org/entity/Q126596
heanse,http://www.wikidata.org/entity/Q93356
helo__,http://www.wikidata.org/entity/Q5656
herblu,http://www.wikidata.org/entity/Q6698360
hertfr,http://www.wikidata.org/entity/Q46464025
heyege,http://www.wikidata.org/entity/Q272706
hickem,http://www.wikidata.org/entity/Q5372212
highpa,http://www.wikidata.org/entity/Q270635
hillis,http://www.wikidata.org/entity/Q18671521
hillsu,http://www.wikidata.org/entity/Q269982
hobyma,http://www.wikidata.org/entity/Q6470399
hoflba,http://www.wikidata.org/entity/Q4858983
holcth,http://www.wikidata.org/entity/Q1114941
holfma,http://www.wikidata.org/entity/Q16239933
holmco,http://www.wikidata.org/entity/Q5163540
hootel,http://www.wikidata.org/entity/Q5362990
hopkge,http://www.wikidata.org/entity/Q313693
hornri,http://www.wikidata.org/entity/Q346599
housae,http://www.wikidata.org/entity/Q351410
howael,http://www.wikidata.org/entity/Q3723404
howian,http://www.wikidata.org/entity/Q4767321
hrotga,http://www.wikidata.org/entity/Q170248
hullem,http://www.wikidata.org/entity/Q1287924
humeso,http://www.wikidata.org/entity/Q7562889
huntle,http://www.wikidata.org/entity/Q655213
huntvi,http://www.wikidata.org/entity/Q1677011
hutclu,http://www.wikidata.org/entity/Q6698372
huttlu,None
huxlel,http://www.wikidata.org/entity/Q5367730
inchel,http://www.wikidata.org/entity/Q469974
inneka,http://www.wikidata.org/entity/Q37995032
iriglu,http://www.wikidata.org/entity/Q28918
ishael,http://www.wikidata.org/entity/Q16203822
jacona,http://www.wikidata.org/entity/Q6964648
jacsma,http://www.wikidata.org/entity/Q18936200
jamean,http://www.wikidata.org/entity/Q274627
jamehe,http://www.wikidata.org/entity/Q170509
jamest,http://www.wikidata.org/entity/Q541812
jay_ha,http://www.wikidata.org/entity/Q5664411
jellan,http://www.wikidata.org/entity/Q287829
jenkhe,http://www.wikidata.org/entity/Q18671380
jessft,http://www.wikidata.org/entity/Q5424057
jewesa,http://www.wikidata.org/entity/Q444995
jewsma,http://www.wikidata.org/entity/Q17355615
jhabru,http://www.wikidata.org/entity/Q235759
johnch,http://www.wikidata.org/entity/Q5109767
johnja,http://www.wikidata.org/entity/Q58331117
johnp2,http://www.wikidata.org/entity/Q2716914
johnsa,http://www.wikidata.org/entity/Q183266
joneeb,http://www.wikidata.org/entity/Q22018772
joscel,http://www.wikidata.org/entity/Q5362480
julino,http://www.wikidata.org/entity/Q236699
kanesa,http://www.wikidata.org/entity/Q231141
kavaan,http://www.wikidata.org/entity/Q287679
kayesh,http://www.wikidata.org/entity/Q4958416
kazaju,http://www.wikidata.org/entity/Q15442336
kearan,http://www.wikidata.org/entity/Q4769327
kellis,http://www.wikidata.org/entity/Q6078021
kembad,None
kembma,http://www.wikidata.org/entity/Q15632180
kendma,http://www.wikidata.org/entity/Q15452571
kilhha,http://www.wikidata.org/entity/Q5648873
kindje,http://www.wikidata.org/entity/Q18530008
kingfa,http://www.wikidata.org/entity/Q18922239
kingma,http://www.wikidata.org/entity/Q235525
kiplru,http://www.wikidata.org/entity/Q34743
knigel,http://www.wikidata.org/entity/Q3723540
kortfa,http://www.wikidata.org/entity/Q18576173
lafama,http://www.wikidata.org/entity/Q237090
lamban,http://www.wikidata.org/entity/Q457511
lambma,http://www.wikidata.org/entity/Q276126
larkph,http://www.wikidata.org/entity/Q313758
laskma,http://www.wikidata.org/entity/Q6760327
laurma,http://www.wikidata.org/entity/Q443591
lavima,http://www.wikidata.org/entity/Q3296204
lawrdh,http://www.wikidata.org/entity/Q34970
law_wi,http://www.wikidata.org/entity/Q3177480
leadma,http://www.wikidata.org/entity/Q6780062
leapma,http://www.wikidata.org/entity/Q15493900
lee_ha,http://www.wikidata.org/entity/Q1125856
lee_ve,http://www.wikidata.org/entity/Q2669614
leguur,http://www.wikidata.org/entity/Q181659
leigdo,http://www.wikidata.org/entity/Q19039458
lennch,http://www.wikidata.org/entity/Q441757
leplal,http://www.wikidata.org/entity/Q74918
lestel,None
levede,http://www.wikidata.org/entity/Q272042
levyan,http://www.wikidata.org/entity/Q494257
lewege,http://www.wikidata.org/entity/Q1275943
lewisa,http://www.wikidata.org/entity/Q5400921
lickis,http://www.wikidata.org/entity/Q18783709
lincel,http://www.wikidata.org/entity/Q18576121
linsma,http://www.wikidata.org/entity/Q18529191
listan,http://www.wikidata.org/entity/Q2745195
livepe,http://www.wikidata.org/entity/Q262274
lockan,http://www.wikidata.org/entity/Q4768546
loftno,http://www.wikidata.org/entity/Q1792237
longma,http://www.wikidata.org/entity/Q7782911
loudja,http://www.wikidata.org/entity/Q514667
loy_mi,http://www.wikidata.org/entity/Q470063
luckcl,http://www.wikidata.org/entity/Q63762630
lyaled,http://www.wikidata.org/entity/Q4678251
lyttco,http://www.wikidata.org/entity/Q6470046
lytted,http://www.wikidata.org/entity/Q335493
macaca,http://www.wikidata.org/entity/Q538767
macath,http://www.wikidata.org/entity/Q315989
mackan,None
macksh,http://www.wikidata.org/entity/Q7494144
macqka,http://www.wikidata.org/entity/Q18879860
mailel,http://www.wikidata.org/entity/Q464376
majoel,http://www.wikidata.org/entity/Q19325552
malelu,None
mandbe,http://www.wikidata.org/entity/Q379912
manlde,None
mannet,None
manska,http://www.wikidata.org/entity/Q270632
marcja,None
marifr,http://www.wikidata.org/entity/Q5617
marije,http://www.wikidata.org/entity/Q1131305
marlch,http://www.wikidata.org/entity/Q28975
marsan,http://www.wikidata.org/entity/Q565581
marsdo,None
marska,http://www.wikidata.org/entity/Q546303
marsng,http://www.wikidata.org/entity/Q234392
martha,http://www.wikidata.org/entity/Q234570
marxka,http://www.wikidata.org/entity/Q9061
mastma,None
mathhe,None
mayofl,None
mccama,http://www.wikidata.org/entity/Q268147
mcgume,None
meadlt,http://www.wikidata.org/entity/Q6456649
meekel,None
melvhe,http://www.wikidata.org/entity/Q4985
merelo,None
mew_ch,None
meynvi,None
mildgr,None
millan,http://www.wikidata.org/entity/Q4766772
milled,http://www.wikidata.org/entity/Q62134
milnch,None
minima,None
mitcna,None
mitfna,None
moggde,http://www.wikidata.org/entity/Q3020878
mollma,None
montel,http://www.wikidata.org/entity/Q443320
montma,None
moodsu,None
moorma,http://www.wikidata.org/entity/Q278495
mordel,None
morema,None
morrja,http://www.wikidata.org/entity/Q3395844
morrto,http://www.wikidata.org/entity/Q72334
mortpe,None
mossce,None
mossma,None
mozlan,None
muirwi,None
munral,http://www.wikidata.org/entity/Q234819
murdir,None
murreu,http://www.wikidata.org/entity/Q18528921
murrju,http://www.wikidata.org/entity/Q44922
nadeco,None
nairca,http://www.wikidata.org/entity/Q5044865
nesbe_,http://www.wikidata.org/entity/Q231708
newtis,http://www.wikidata.org/entity/Q935
nichgr,http://www.wikidata.org/entity/Q5591324
nighfl,http://www.wikidata.org/entity/Q37103
nithwi,http://www.wikidata.org/entity/Q8025410
norrjo,http://www.wikidata.org/entity/Q3182195
nortfr,http://www.wikidata.org/entity/Q5478870
nottka,None
obrich,None
obrika,http://www.wikidata.org/entity/Q444315
ogilel,None
okeead,None
olseti,http://www.wikidata.org/entity/Q272393
oneifr,None
orczem,http://www.wikidata.org/entity/Q234530
osbodo,http://www.wikidata.org/entity/Q379445
ouid__,http://www.wikidata.org/entity/Q258001
oyeyhe,None
pagais,http://www.wikidata.org/entity/Q6077720
painth,http://www.wikidata.org/entity/Q126462
palmma,None
pankem,None
pantmo,None
parkbe,None
parkem,None
parrka,http://www.wikidata.org/entity/Q192943
parsel,None
patewa,http://www.wikidata.org/entity/Q352528
patrmr,http://www.wikidata.org/entity/Q22958074
pearsu,None
peisma,None
penima,http://www.wikidata.org/entity/Q15485058
pethem,None
pfeiem,None
philca,http://www.wikidata.org/entity/Q5052870
philte,http://www.wikidata.org/entity/Q18757134
pilkla,None
pintha,http://www.wikidata.org/entity/Q41042
pittru,None
plaije,http://www.wikidata.org/entity/Q142106
pluma2,http://www.wikidata.org/entity/Q18526491
plumce,None
polwel,http://www.wikidata.org/entity/Q5363367
pordel,http://www.wikidata.org/entity/Q529601
portja,http://www.wikidata.org/entity/Q3161890
pounez,http://www.wikidata.org/entity/Q163366
procad,http://www.wikidata.org/entity/Q4681673
pughsh,http://www.wikidata.org/entity/Q7492394
purcsa,http://www.wikidata.org/entity/Q7405263
quinan,http://www.wikidata.org/entity/Q4766633
radcma,http://www.wikidata.org/entity/Q16191085
ramapa,http://www.wikidata.org/entity/Q94889
rathha,http://www.wikidata.org/entity/Q5648886
reevcl,http://www.wikidata.org/entity/Q449489
renama,http://www.wikidata.org/entity/Q235354
reynfr,None
rhysje,http://www.wikidata.org/entity/Q230598
richdo,http://www.wikidata.org/entity/Q447268
richhe,http://www.wikidata.org/entity/Q443398
riddch,http://www.wikidata.org/entity/Q5086114
ridila,http://www.wikidata.org/entity/Q3312332
rigbel,http://www.wikidata.org/entity/Q513142
ritcan,http://www.wikidata.org/entity/Q565833
robeem,http://www.wikidata.org/entity/Q5372941
robemi,http://www.wikidata.org/entity/Q6838015
robiam,http://www.wikidata.org/entity/Q517162
robiem,http://www.wikidata.org/entity/Q18670210
robiis,None
rochjo,http://www.wikidata.org/entity/Q358912
ropema,http://www.wikidata.org/entity/Q517791
rossca,None
rossda,http://www.wikidata.org/entity/Q186748
rousje,http://www.wikidata.org/entity/Q6527
roweel,http://www.wikidata.org/entity/Q3051267
rowssu,http://www.wikidata.org/entity/Q458822
roydna,http://www.wikidata.org/entity/Q19324986
ruckbe,http://www.wikidata.org/entity/Q289990
ruskjo,http://www.wikidata.org/entity/Q179126
russje,None
rymeja,None
sackvi,http://www.wikidata.org/entity/Q235505
sandma,http://www.wikidata.org/entity/Q18528974
savama,None
saviet,http://www.wikidata.org/entity/Q18921132
schima,http://www.wikidata.org/entity/Q6778952
schuan,http://www.wikidata.org/entity/Q255261
scotca,http://www.wikidata.org/entity/Q16210361
scotma,http://www.wikidata.org/entity/Q6780689
scotwa,http://www.wikidata.org/entity/Q79025
scudma,http://www.wikidata.org/entity/Q237095
sedgca,None
sevima,http://www.wikidata.org/entity/Q237103
sewean,http://www.wikidata.org/entity/Q258741
sewema,http://www.wikidata.org/entity/Q6780991
shakwi,http://www.wikidata.org/entity/Q692
shapjo,http://www.wikidata.org/entity/Q14948636
sharja,None
shawge,http://www.wikidata.org/entity/Q19185
shelma,http://www.wikidata.org/entity/Q47152
shepna,http://www.wikidata.org/entity/Q13511896
sherma,http://www.wikidata.org/entity/Q6780258
shieca,http://www.wikidata.org/entity/Q259956
shirem,http://www.wikidata.org/entity/Q5372034
shorlo,http://www.wikidata.org/entity/Q18751052
showmr,http://www.wikidata.org/entity/Q58332850
siddel,http://www.wikidata.org/entity/Q465000
sidnph,http://www.wikidata.org/entity/Q315509
sigoly,http://www.wikidata.org/entity/Q4418695
simcel,http://www.wikidata.org/entity/Q1331315
sincma,http://www.wikidata.org/entity/Q1131497
skenfe,http://www.wikidata.org/entity/Q1403036
sleael,None
smedco,None
smital,None
smitdo,None
smitlu,None
smitza,None
smytet,http://www.wikidata.org/entity/Q236599
smytsu,None
somema,http://www.wikidata.org/entity/Q268702
soutjo,None
sowegi,None
spegra,None
spenel,None
spenhe,http://www.wikidata.org/entity/Q144535
staege,http://www.wikidata.org/entity/Q123041
starma,None
