Subject,http://id.loc.gov/authorities/subjects/sh85088084,cinema,Motion pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85026301,civics,Civics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/vocabulary/languages/grc,classical greek,"Greek, Ancient (to 1453); Griechisch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85064872,classical indian culture,India--Civilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85026704,classical languages,Classical languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85026706,classical literature,Classical literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85026711,classical poetry,Classical poetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85026450,classical studies,"Civilization, Classical",classics,ancient languages,greek and roman history,ancient history,ancient civilization and culture,ancient and modern history,history of the ancient world,ancient celtic history,ancient,roman history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85029027,communications,Communication,how to use a telegraph machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85077534,comparative literature,Comparative literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh89003285,computer science,Computer science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85121304,conchology,Shells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh2010008400,cookery,Cooking,cooking,cooking desserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85033167,cosmography,Cosmography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85033421,counselling,Counseling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85058715,handcrafts,Handcrafts,creative handiwork,crafts,wood carving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/vocabulary/languages/cze,czech,Czech; Tschechisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85035659,dance,Dance,danced,dancing,dancer,folkdancing,tap dancing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/vocabulary/languages/dan,danish,Danish; Dänisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85035735,danish literature,Danish literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/childrensSubjects/sj96005290,dante's divine comedy,"Dante Alighieri, 1265-1321. Divine comedy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh99005476,decoration,Decoration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh99005313,deportment,Conduct of life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85037197,design,Design,development of design,mosaic design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85037693,dictation,Dictation (Educational method),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85061673,domestic economy,Home economics,domestic science,domestic and household skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85039316,drama,Drama,dramatic literature,dramatic writing,elizabethan drama,greek drama,modern european drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85039408,drawing,Drawing,draw,drawing and the study of perspective,drawing the nude,sketching,model drawing,figure composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85039517,dressmaking,Dressmaking,dress making,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/vocabulary/languages/dut,dutch,Dutch,flemish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85040850,economics,Economics,political economy,irish economy,fiscal issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85041367,egyptology,Egyptology,ancient egyptian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85041666,electrical engineering,Electrical engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85042633,elocution,Elocution,debating,conversational skill,public speaking,recitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85042701,embroidery,Embroidery,embroidery in silks,embossed embroidery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
