ORLANDO TERM,Possible URI,Possible URI #2
eclogue,http://sparql.cwrc.ca/ontologies/genre#eclogue,
editing,http://sparql.cwrc.ca/ontologies/genre#editorialWork,
editorial work,http://sparql.cwrc.ca/ontologies/genre#editorialWork,
elegy,http://sparql.cwrc.ca/ontologies/genre#elegy,
embedded/partial work,http://sparql.cwrc.ca/ontologies/genre#EmbeddedWork,
encyclopaedia,http://sparql.cwrc.ca/ontologies/genre#encyclopaedia,
environmental,http://sparql.cwrc.ca/ontologies/genre#environmental,
ephemera,http://sparql.cwrc.ca/ontologies/genre#ephemera,
epic,http://sparql.cwrc.ca/ontologies/genre#epic,
epic theatre,http://sparql.cwrc.ca/ontologies/genre#epicTheatre,
epictheatre,http://sparql.cwrc.ca/ontologies/genre#epicTheatre,
epigram,http://sparql.cwrc.ca/ontologies/genre#epigram,
epilogue,http://sparql.cwrc.ca/ontologies/genre#epilogue,
episodic literature,http://sparql.cwrc.ca/ontologies/genre#episodicLiterature,
episodicliterature,http://sparql.cwrc.ca/ontologies/genre#episodicLiterature,
epistle,http://sparql.cwrc.ca/ontologies/genre#epistle,
epistolary,http://sparql.cwrc.ca/ontologies/genre#epistolary,
epistolary genre,http://sparql.cwrc.ca/ontologies/genre#EpistolaryGenre,
epitaph,http://sparql.cwrc.ca/ontologies/genre#epitaph,
epithalamium,http://sparql.cwrc.ca/ontologies/genre#epithalamium,
epyllion,http://sparql.cwrc.ca/ontologies/genre#epyllion,
erotica,http://sparql.cwrc.ca/ontologies/genre#erotica,
erotica or pornography,http://sparql.cwrc.ca/ontologies/genre#eroticaOrPornography,
eroticapornography,http://sparql.cwrc.ca/ontologies/genre#eroticaOrPornography,
essais,http://sparql.cwrc.ca/ontologies/genre#InformationalGenre,
essay,http://sparql.cwrc.ca/ontologies/genre#essay,
eulogy,http://sparql.cwrc.ca/ontologies/genre#eulogy,
exhibition catalogue,http://sparql.cwrc.ca/ontologies/genre#exhibitionCatalogue,
exhibitioncatalogue,http://sparql.cwrc.ca/ontologies/genre#exhibitionCatalogue,
exploration,http://sparql.cwrc.ca/ontologies/genre#exploration,
EXPRESSIONISTWRITING,,
eye-witness,http://sparql.cwrc.ca/ontologies/genre#eyeWitness,
fable,http://sparql.cwrc.ca/ontologies/genre#fable,
fabliau,http://sparql.cwrc.ca/ontologies/genre#fabliau,
fairytale,http://sparql.cwrc.ca/ontologies/genre#fairytale,
fantasy,http://sparql.cwrc.ca/ontologies/genre#fantasy,
farce,http://sparql.cwrc.ca/ontologies/genre#farce,
fascicle,http://sparql.cwrc.ca/ontologies/genre#fascicle,
feminist,http://sparql.cwrc.ca/ontologies/genre#feminist,
feminist genre,http://sparql.cwrc.ca/ontologies/genre#FeministGenre,
feminist theory,http://sparql.cwrc.ca/ontologies/genre#feministTheory,
feministtheory,http://sparql.cwrc.ca/ontologies/genre#feministTheory,
fiction,http://sparql.cwrc.ca/ontologies/genre#fiction,
fictional genre,http://sparql.cwrc.ca/ontologies/genre#FictionalGenre,
film,http://sparql.cwrc.ca/ontologies/genre#film,
film script,http://sparql.cwrc.ca/ontologies/genre#filmScript,
film tv script,http://sparql.cwrc.ca/ontologies/genre#filmTvScript,
filmtvscript,http://sparql.cwrc.ca/ontologies/genre#filmTvScript,
folk song,http://sparql.cwrc.ca/ontologies/genre#folkSong,
folk tale,http://sparql.cwrc.ca/ontologies/genre#folkTale,
folksong,http://sparql.cwrc.ca/ontologies/genre#folkSong,
folktale,http://sparql.cwrc.ca/ontologies/genre#legend,
form genre,http://sparql.cwrc.ca/ontologies/genre#Form,
form of,http://sparql.cwrc.ca/ontologies/genre#formOf,
free verse,http://sparql.cwrc.ca/ontologies/genre#freeVerse,
gardening,http://sparql.cwrc.ca/ontologies/genre#gardening,
gardeningbook,http://sparql.cwrc.ca/ontologies/genre#gardening,
genealogy,http://sparql.cwrc.ca/ontologies/genre#genealogy,
georgic,http://sparql.cwrc.ca/ontologies/genre#georgic,
ghost story,http://sparql.cwrc.ca/ontologies/genre#ghostStory,
ghoststory,http://sparql.cwrc.ca/ontologies/genre#ghostStory,
giftbook,http://sparql.cwrc.ca/ontologies/genre#giftbook,
gothic,http://sparql.cwrc.ca/ontologies/genre#gothic,
government report,http://sparql.cwrc.ca/ontologies/genre#governmentReport,
governmentreport,http://sparql.cwrc.ca/ontologies/genre#governmentReport,
grammar,http://sparql.cwrc.ca/ontologies/genre#grammar,
graphic novel,http://sparql.cwrc.ca/ontologies/genre#graphicNovel,
graveyard poetry,http://sparql.cwrc.ca/ontologies/genre#graveyardPoetry,
graveyardpoetry,http://sparql.cwrc.ca/ontologies/genre#graveyardPoetry,
guerilla theatre,http://sparql.cwrc.ca/ontologies/genre#guerillaTheatre,
guerillatheatre,http://sparql.cwrc.ca/ontologies/genre#guerillaTheatre,
guidebook,http://sparql.cwrc.ca/ontologies/genre#guidebook,
hagiography,http://sparql.cwrc.ca/ontologies/genre#hagiography,
haiku,http://sparql.cwrc.ca/ontologies/genre#haiku,
harlequinade,http://sparql.cwrc.ca/ontologies/genre#harlequinade,
has form,http://sparql.cwrc.ca/ontologies/genre#hasForm,
has genre,http://sparql.cwrc.ca/ontologies/genre#hasGenre,
heroic,http://sparql.cwrc.ca/ontologies/genre#heroic,
historical,http://sparql.cwrc.ca/ontologies/genre#historicalWriting,
historical genre,http://sparql.cwrc.ca/ontologies/genre#HistoricalGenre,
historical overview,http://sparql.cwrc.ca/ontologies/genre#historicalOverview,
historical writing,http://sparql.cwrc.ca/ontologies/genre#historicalWriting,
history,http://sparql.cwrc.ca/ontologies/genre#history,
hymn,http://sparql.cwrc.ca/ontologies/genre#hymn,
illustrated,http://sparql.cwrc.ca/ontologies/genre#illustrated,
illustrated form,http://sparql.cwrc.ca/ontologies/genre#IllustratedForm,
imitation,http://sparql.cwrc.ca/ontologies/genre#imitation,
immigration writing,http://sparql.cwrc.ca/ontologies/genre#migration,
improvisation,http://sparql.cwrc.ca/ontologies/genre#improvisation,
index,http://sparql.cwrc.ca/ontologies/genre#index,
industrial novel,http://sparql.cwrc.ca/ontologies/genre#industrialNovel,
industrialnovel,http://sparql.cwrc.ca/ontologies/genre#industrialNovel,
informational genre,http://sparql.cwrc.ca/ontologies/genre#InformationalGenre,
informational writing,http://sparql.cwrc.ca/ontologies/genre#informationalWriting,
instructional text,http://sparql.cwrc.ca/ontologies/genre#instructionalText,
intertextual genre,http://sparql.cwrc.ca/ontologies/genre#IntertextualGenre,
interview,http://sparql.cwrc.ca/ontologies/genre#interview,
introduction,http://sparql.cwrc.ca/ontologies/genre#introduction,
journal,http://sparql.cwrc.ca/ontologies/genre#journal,
journal form,http://sparql.cwrc.ca/ontologies/genre#JournalForm,
journalism,http://sparql.cwrc.ca/ontologies/genre#journalism,
journalism and writings,http://sparql.cwrc.ca/ontologies/genre#journalism,
journalistic genre,http://sparql.cwrc.ca/ontologies/genre#JournalisticGenre,
juvenile,http://sparql.cwrc.ca/ontologies/genre#juvenile,
juvenilia,http://sparql.cwrc.ca/ontologies/genre#juvenilia,
kitchen sink drama,http://sparql.cwrc.ca/ontologies/genre#kitchenSinkDrama,
kitchensinkdrama,http://sparql.cwrc.ca/ontologies/genre#kitchenSinkDrama,
kunstlerroman,http://sparql.cwrc.ca/ontologies/genre#kunstlerroman,
lais,http://sparql.cwrc.ca/ontologies/genre#lais,
lampoon,http://sparql.cwrc.ca/ontologies/genre#lampoon,
lecture,http://sparql.cwrc.ca/ontologies/genre#lecture,
legal writing,http://sparql.cwrc.ca/ontologies/genre#legalWriting,
legalwriting,http://sparql.cwrc.ca/ontologies/genre#legalWriting,
legend,http://sparql.cwrc.ca/ontologies/genre#legend,
legend folktale,http://sparql.cwrc.ca/ontologies/genre#legendFolktale,
legendfolktale,http://sparql.cwrc.ca/ontologies/genre#legendFolktale,
lesbian,http://sparql.cwrc.ca/ontologies/genre#lesbian,
lesbianwriting,http://sparql.cwrc.ca/ontologies/genre#lesbian,
letter,http://sparql.cwrc.ca/ontologies/genre#letter,
