File,ID,Project ID,Record Creation Date,Record Change Date,Preferred Name,Displayed Name,Orlando Standard Name,SameAs Wikidata,SameAs VIAF,SameAs Getty,Alternate Name,Alternate Names,Historic Name,CWRC URI,Primary URI,Secondary URI
orlando_70c33ea3-2e02-4051-aaff-7bfc3d6e8ace,70c33ea3-2e02-4051-aaff-7bfc3d6e8ace,orlando,2020-09-02,2020-09-02,Church of England Temperance Society,,Church of England Temperance Society,,,,,,,https://commons.cwrc.ca/orlando:70c33ea3-2e02-4051-aaff-7bfc3d6e8ace,https://commons.cwrc.ca/orlando:70c33ea3-2e02-4051-aaff-7bfc3d6e8ace,
orlando_70d39b2c-0d18-4af0-9700-481320e4d07f,70d39b2c-0d18-4af0-9700-481320e4d07f,orlando,2020-09-02,2020-09-02,Mason Brothers,,Mason Brothers,http://www.wikidata.org/entity/Q107157338,,,,,,https://commons.cwrc.ca/orlando:70d39b2c-0d18-4af0-9700-481320e4d07f,http://www.wikidata.org/entity/Q107157338,
orlando_70e45800-7239-416f-bf43-f742672f5522,70e45800-7239-416f-bf43-f742672f5522,orlando,2020-09-02,2020-09-02,Llandaff Cathedral,,Llandaff Cathedral,,,,,,,https://commons.cwrc.ca/orlando:70e45800-7239-416f-bf43-f742672f5522,https://commons.cwrc.ca/orlando:70e45800-7239-416f-bf43-f742672f5522,
orlando_70ebb2f0-a06c-4bd6-9bf0-6cdb452997bc,70ebb2f0-a06c-4bd6-9bf0-6cdb452997bc,orlando,2020-09-02,2020-09-02,Famous Writers School,,Famous Writers School,,http://viaf.org/viaf/167652886,,,,,https://commons.cwrc.ca/orlando:70ebb2f0-a06c-4bd6-9bf0-6cdb452997bc,http://viaf.org/viaf/167652886,
orlando_70fbc6b5-ca58-4682-9b19-310a1bd53162,70fbc6b5-ca58-4682-9b19-310a1bd53162,orlando,2020-09-02,2020-09-02,Aberdare Hall,,Aberdare Hall,,,,,,,https://commons.cwrc.ca/orlando:70fbc6b5-ca58-4682-9b19-310a1bd53162,https://commons.cwrc.ca/orlando:70fbc6b5-ca58-4682-9b19-310a1bd53162,
orlando_71021d35-0e73-4074-ad1e-2ba1090dcce1,71021d35-0e73-4074-ad1e-2ba1090dcce1,orlando,2020-09-03,2020-09-03,University of North Carolina,,University of North Carolina,,http://viaf.org/viaf/127332403 | http://viaf.org/viaf/157864378,,,,,https://commons.cwrc.ca/orlando:71021d35-0e73-4074-ad1e-2ba1090dcce1,http://viaf.org/viaf/127332403,
orlando_71048046-fe3d-404e-a1a8-ceb05e125c4d,71048046-fe3d-404e-a1a8-ceb05e125c4d,orlando,2020-09-02,2020-09-02,National Peace Council,,National Peace Council,,http://viaf.org/viaf/157723589,,,,,https://commons.cwrc.ca/orlando:71048046-fe3d-404e-a1a8-ceb05e125c4d,http://viaf.org/viaf/157723589,
orlando_710515af-c925-443b-a9b6-6530dda22252,710515af-c925-443b-a9b6-6530dda22252,orlando,2020-09-02,2020-09-02,Office of the United Nations High Commissioner for Refugees,,Office of the United Nations High Commissioner for Refugees,,,,UNHCR,,,https://commons.cwrc.ca/orlando:710515af-c925-443b-a9b6-6530dda22252,https://commons.cwrc.ca/orlando:710515af-c925-443b-a9b6-6530dda22252,
orlando_71094aa9-4138-486c-b2c0-349d2ec1c901,71094aa9-4138-486c-b2c0-349d2ec1c901,orlando,2020-09-02,2020-09-02,Indian Intelligence Service,,Indian Intelligence Service,,,,,,,https://commons.cwrc.ca/orlando:71094aa9-4138-486c-b2c0-349d2ec1c901,https://commons.cwrc.ca/orlando:71094aa9-4138-486c-b2c0-349d2ec1c901,
orlando_7113203d-3081-4ea8-aa30-5217609c4684,7113203d-3081-4ea8-aa30-5217609c4684,orlando,2020-09-02,2020-09-02,National Reform Union,,National Reform Union,,,,,,,https://commons.cwrc.ca/orlando:7113203d-3081-4ea8-aa30-5217609c4684,https://commons.cwrc.ca/orlando:7113203d-3081-4ea8-aa30-5217609c4684,
orlando_711d8676-08d9-441e-9fe5-f652c61b635c,711d8676-08d9-441e-9fe5-f652c61b635c,orlando,2020-09-02,2020-09-02,London School of Hygiene and Tropical Medicine,,London School of Hygiene and Tropical Medicine,,,,London School of Tropical Medicine,,,https://commons.cwrc.ca/orlando:711d8676-08d9-441e-9fe5-f652c61b635c,https://commons.cwrc.ca/orlando:711d8676-08d9-441e-9fe5-f652c61b635c,
orlando_7126c174-2aa6-4e6f-b4a6-40983c1b820f,7126c174-2aa6-4e6f-b4a6-40983c1b820f,orlando,2020-09-02,2020-09-02,Harvard University Library,,Harvard University Library,,http://viaf.org/viaf/129558359,,,,,https://commons.cwrc.ca/orlando:7126c174-2aa6-4e6f-b4a6-40983c1b820f,http://viaf.org/viaf/129558359,
orlando_713662bb-e356-413c-8f9a-367757a4e9ea,713662bb-e356-413c-8f9a-367757a4e9ea,orlando,2020-09-02,2020-09-02,Book Society,,Book Society,,,,,,,https://commons.cwrc.ca/orlando:713662bb-e356-413c-8f9a-367757a4e9ea,https://commons.cwrc.ca/orlando:713662bb-e356-413c-8f9a-367757a4e9ea,
orlando_71402722-363b-4738-8ccd-a2ccd6ba7526,71402722-363b-4738-8ccd-a2ccd6ba7526,orlando,2020-09-03,2020-09-03,Sisters of Charity,,Sisters of Charity,http://www.wikidata.org/entity/Q7531309,,,,,,https://commons.cwrc.ca/orlando:71402722-363b-4738-8ccd-a2ccd6ba7526,http://www.wikidata.org/entity/Q7531309,
orlando_714cf447-c8b3-4690-b05d-e81c91e17e75,714cf447-c8b3-4690-b05d-e81c91e17e75,orlando,2020-09-02,2020-09-02,Covent Garden Press,,Covent Garden Press,,http://viaf.org/viaf/305943488,,,,,https://commons.cwrc.ca/orlando:714cf447-c8b3-4690-b05d-e81c91e17e75,http://viaf.org/viaf/305943488,
orlando_714e12bc-2355-4b93-8b03-bc658a658716,714e12bc-2355-4b93-8b03-bc658a658716,orlando,2020-09-02,2020-09-02,Irish Republican Brotherhood,,Irish Republican Brotherhood,http://www.wikidata.org/entity/Q1062580,http://viaf.org/viaf/137217086,,IRB | Fenians,,,https://commons.cwrc.ca/orlando:714e12bc-2355-4b93-8b03-bc658a658716,http://viaf.org/viaf/137217086,
orlando_71542465-ad49-4385-907d-f0c2e8499cf9,71542465-ad49-4385-907d-f0c2e8499cf9,orlando,2020-09-02,2020-09-02,Italian Liberal Party,,Italian Liberal Party,,,,,,,https://commons.cwrc.ca/orlando:71542465-ad49-4385-907d-f0c2e8499cf9,https://commons.cwrc.ca/orlando:71542465-ad49-4385-907d-f0c2e8499cf9,
orlando_71544858-a8c5-4250-951c-b396c0241263,71544858-a8c5-4250-951c-b396c0241263,orlando,2020-09-02,2020-09-02,Library of Congress,,Library of Congress,,http://viaf.org/viaf/151962300,,American Library of Congress,,,https://commons.cwrc.ca/orlando:71544858-a8c5-4250-951c-b396c0241263,http://viaf.org/viaf/151962300,
orlando_71550213-90d1-4ad3-9822-36cc4061fd18,71550213-90d1-4ad3-9822-36cc4061fd18,orlando,2020-09-02,2020-09-02,Joint Council of Midwifery,,Joint Council of Midwifery,,,,,,,https://commons.cwrc.ca/orlando:71550213-90d1-4ad3-9822-36cc4061fd18,https://commons.cwrc.ca/orlando:71550213-90d1-4ad3-9822-36cc4061fd18,
orlando_71565bdb-d0a3-4a54-9cfa-9e3d0c48780f,71565bdb-d0a3-4a54-9cfa-9e3d0c48780f,orlando,2020-09-02,2020-09-02,Fawcett,,Fawcett,,,,,,,https://commons.cwrc.ca/orlando:71565bdb-d0a3-4a54-9cfa-9e3d0c48780f,https://commons.cwrc.ca/orlando:71565bdb-d0a3-4a54-9cfa-9e3d0c48780f,
orlando_7156c7fb-ae56-4903-9f83-2f4c841bafef,7156c7fb-ae56-4903-9f83-2f4c841bafef,orlando,2020-09-02,2020-09-02,Arcola Theatre,,Arcola Theatre,,http://viaf.org/viaf/315674597,,,,,https://commons.cwrc.ca/orlando:7156c7fb-ae56-4903-9f83-2f4c841bafef,http://viaf.org/viaf/315674597,
orlando_715f8e7d-d121-4559-9dec-78c89497f5b1,715f8e7d-d121-4559-9dec-78c89497f5b1,orlando,2020-09-02,2020-09-02,London Music Hall Owners Protection Society,,London Music Hall Owners Protection Society,,,,,,,https://commons.cwrc.ca/orlando:715f8e7d-d121-4559-9dec-78c89497f5b1,https://commons.cwrc.ca/orlando:715f8e7d-d121-4559-9dec-78c89497f5b1,
orlando_716236fb-d07e-41c9-832d-8dde291cf5b8,716236fb-d07e-41c9-832d-8dde291cf5b8,orlando,2020-09-03,2020-09-03,Onwhyn,,Onwhyn,,,,,,,https://commons.cwrc.ca/orlando:716236fb-d07e-41c9-832d-8dde291cf5b8,https://commons.cwrc.ca/orlando:716236fb-d07e-41c9-832d-8dde291cf5b8,
orlando_716617d6-26b8-4d4a-b61a-e8e8738188e9,716617d6-26b8-4d4a-b61a-e8e8738188e9,orlando,2020-09-02,2020-09-02,Edmonton District Council,,Edmonton District Council,,,,,,,https://commons.cwrc.ca/orlando:716617d6-26b8-4d4a-b61a-e8e8738188e9,https://commons.cwrc.ca/orlando:716617d6-26b8-4d4a-b61a-e8e8738188e9,
