"Library of Congress subject heading identifier",,"Library of Congress subject heading label",Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Variant 9,Variant 10,Variant 11,Variant 12,Variant 13,Variant 14,Variant 15,Variant 16,Variant 17,Variant 18,Variant 19
http://id.loc.gov/authorities/subjects/sh85077507,literature,Literature,literatures,literate,ancient and modern literature,literary,literary self education,literary exercises,foreign literature,moral tales,renaissance allegory,restoration literature,romantic literature,contemporary literature,,,,,,,
http://id.loc.gov/authorities/subjects/sh85078106,logic,Logic,formal logic,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/may,malay,Malay,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/men,mande,Mende,mende,malinke,bambara,kpelle,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/mao,maori,Maori,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85082139,mathematics,Mathematics,mathematicks,maths,elementary mathematics,trigonometry,statistics,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85085001,mediæval studies,Middle ages,early middle ages,medieval period,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85083064,medicine,Medicine,medical skills,medical studies,health care,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/fro,medieval french,"French, Old (ca. 842-1300)",medieval french literature,old french,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85077548,medieval literature,"Literature, Medieval",medieval french literature,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85103721,medieval poetry,"Poetry, Medieval",,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85084286,metaphysics,Metaphysics,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85084334,meteorology,Meteorology,metereology,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85084783,microbiology,Microbiology,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/enm,middle english,"English, Middle (1100-1500)",,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/gmh,middle german,"German, Middle High (ca. 1050-1500)",,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh96006072,midwifery,Midwifery,infant care,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85085369,milking,Milking,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85085409,millinery,Millinery,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/names/n78095532,milton,"Milton, John, 1608-1674",,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85085589,mineralogy,Mineralogy,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85061236,modern history,"History, Modern",,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85074583,modern languages,"Languages, Modern",,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85077552,modern literature,"Literature, Modern",,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85117343,modern sanskrit poetry,Sanskrit Poetry,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/mon,mongolian,Mongolian,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85087369,morse code,Morse code,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85088762,music,Music,music composition,musical composition,music theory,balladry,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85088961,musical instruments,Musical instruments,french horn,lute,mandolin,guitar,harp,harp playing,harpsichord,viola,playing music,playing the lute and theorbo,playing the violin,playing the virginals,"spinet, viol, virginal, and harp, lute",play various instruments,,,,,
http://id.loc.gov/authorities/subjects/sh85089371,mythology,Mythology,classical mythology,classical myth,greek mythology,myth,myths,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85090222,natural history,Natural history,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh8511855,natural sciences,Science,natural science,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85090277,nature,Nature,nature study,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85090425,navigation,Navigation,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85090601,needlework,Needlework,needle-work,needle work,needlework lessons,needlepoint,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/nor,norwegian,Norwegian,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85093362,nursing,Nursing,nurse training,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/ang,old english,"English, Old (ca. 450-1100)",old and middle english,anglo saxon,anglo-saxon,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85095071,opthalmology,Ophthalmology,ophthalmology,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85095181,optics,Optics,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85095238,oral histories,Oral history,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85095799,orthopedics,Orthopedics,orthopaedics,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85096661,painting,Painting,painter,paint,oil painting,decorative painting,landscape painting,figure painting,miniature painting,flower painting,decorative painting,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85097064,paleography,Paleography,palaeography,hieroglyphs,hieroglyphics,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85097123,paleontology,Paleontology,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85097242,palmistry,Palmistry,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85098615,pastry making,Pastry,pastry,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85098685,pathology,Pathology,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85099491,penmanship,Penmanship,hand writing,handwriting,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/per,persian,Persian,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85100084,persian poetry,Persian poetry,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85100599,pharmacology,Pharmacology,pharmaceuticals,pharmacy,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85100821,philology,Philology,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh99005065,philosophy,Philosophy,philosophical,philosophers,"philosophy,",philsophy,plato,epistemology,humanism,structuralism,surrealism,utilitarian principles,german philosophy,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85101206,photography,Photography,photographic studies,,,,,,,,,,,,,,,,,,
